"Table with row headers in column A, and column headers in rows 5 through 544. Leading dots indicate subparts. ",,,,,,,,
"Table 1. Full-Time, Year-Round Workers and Median Earnings in 1999 by Sex and Detailed Occupation1: 20002",,,,,,,,
"Full-time, year-round civilian employed 16 years and older (estimates) and full-time, year-round civilian employed 16 years and older with earnings (medians)3",,,,,,,,
,,,,,,,,
,"Number of Full-Time, Year-Round Workers4",,,Percentage of women in occupational group,Median Earnings (dollars),,,Women's earnings as a percentage of men's earnings
Occupational Category,Total,Men,Women,,Total,Men,Women,
,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate
"Total full-time, year-round civilian workers 16 years and over","81,499,950","48,477,790","33,022,160",40.5,"32,532","37,842","27,501",72.7
"Management, professional, and related occupations:","29,730,450","16,819,440","12,911,020",43.4,"44,875","52,396","36,972",70.6
".Management, business, and financial occupations:","13,890,530","8,416,580","5,473,950",39.4,"47,048","55,294","37,748",68.3
..Management occupations:,"9,644,380","6,374,010","3,270,370",33.9,"50,727","57,494","40,273",70.0
...Chief executives,"965,440","797,790","167,650",17.4,"88,124","96,184","61,283",63.7
...General and operations managers,"790,670","595,040","195,630",24.7,"53,502","59,484","42,250",71.0
...Legislators,"9,320","5,860","3,470",37.2,"50,899","58,939","41,303",70.1
...Advertising and promotions managers,"61,660","27,890","33,770",54.8,"44,488","51,959","40,163",77.3
...Marketing and sales managers,"861,770","523,930","337,840",39.2,"57,443","70,310","42,518",60.5
...Public relations managers,"53,940","24,450","29,480",54.7,"50,952","61,102","45,263",74.1
...Administrative services managers,"78,800","48,120","30,680",38.9,"48,658","52,481","41,579",79.2
...Computer and information systems managers,"281,520","201,570","79,950",28.4,"67,607","71,326","57,799",81.0
...Financial managers,"801,160","389,080","412,080",51.4,"50,609","65,925","40,276",61.1
...Human resources managers,"358,390","162,610","195,780",54.6,"46,180","52,333","41,319",79.0
...Industrial production managers,"269,260","227,780","41,490",15.4,"52,493","55,086","43,227",78.5
...Purchasing managers,"171,020","104,910","66,120",38.7,"50,703","56,652","41,618",73.5
"...Transportation, storage, and distribution managers","203,130","169,800","33,330",16.4,"39,733","40,381","36,241",89.7
"...Farm, ranch, and other agricultural managers","140,950","125,490","15,460",11.0,"31,200","31,857","25,185",79.1
...Farmers and ranchers,"362,670","324,300","38,360",10.6,"20,373","21,051","11,915",56.6
...Construction managers,"514,560","483,180","31,390",6.1,"50,817","51,223","39,936",78.0
...Education administrators,"473,910","199,780","274,130",57.8,"49,434","59,379","41,008",69.1
...Engineering managers,"145,250","136,080","9,170",6.3,"81,059","81,322","75,644",93.0
...Food service managers,"486,600","289,770","196,830",40.5,"30,255","33,747","25,494",75.5
...Funeral directors,"36,810","31,310","5,500",14.9,"41,840","44,457","31,163",70.1
...Gaming managers,"20,290","13,240","7,050",34.7,"36,702","41,268","31,131",75.4
...Lodging managers,"93,420","50,600","42,820",45.8,"31,129","35,827","27,235",76.0
...Medical and health services managers,"329,140","108,270","220,870",67.1,"46,436","57,009","41,850",73.4
...Natural sciences managers,"16,490","11,500","4,990",30.3,"75,458","83,891","54,909",65.5
...Postmasters and mail superintendents,"30,590","15,980","14,610",47.8,"47,249","53,710","41,697",77.6
"...Property, real estate, and community association managers","300,490","152,450","148,040",49.3,"36,462","45,825","31,198",68.1
...Social and community service managers,"179,920","67,190","112,730",62.7,"38,945","46,540","35,541",76.4
"...Managers, all other","1,607,220","1,086,050","521,170",32.4,"52,214","60,409","41,651",68.9
..Business and financial operations occupations:,"4,246,150","2,042,570","2,203,580",51.9,"41,156","50,682","35,675",70.4
"...Agents and business managers of artists, performers, and athletes","23,400","13,700","9,700",41.5,"39,314","43,053","35,164",81.7
"...Purchasing agents and buyers, farm products","9,740","7,880","1,860",19.1,"39,249","41,132","30,407",73.9
"...Wholesale and retail buyers, except farm products","150,450","78,720","71,720",47.7,"34,034","37,859","30,699",81.1
"...Purchasing agents, except wholesale, retail, and farm products","218,260","104,710","113,550",52.0,"37,750","43,245","33,600",77.7
"...Claims adjusters, appraisers, examiners, and investigators","240,760","88,770","151,990",63.1,"35,558","42,108","31,896",75.7
"...Compliance officers, except agriculture, construction, health and safety, and transportation","80,880","44,380","36,500",45.1,"41,795","46,785","37,126",79.4
...Cost estimators,"87,740","77,950","9,800",11.2,"45,529","47,036","33,256",70.7
"...Human resources, training, and labor relations specialists","660,750","227,690","433,060",65.5,"38,778","47,190","35,796",75.9
...Logisticians,"31,710","20,840","10,870",34.3,"45,316","50,443","37,151",73.6
...Management analysts,"383,920","243,210","140,710",36.6,"58,739","67,327","47,751",70.9
...Meeting and convention planners,"22,620","5,310","17,310",76.5,"36,474","36,506","36,467",99.9
...Other business operations specialists,"169,810","75,710","94,100",55.4,"35,727","42,434","31,553",74.4
...Accountants and auditors,"1,327,040","611,080","715,960",54.0,"41,619","51,487","36,258",70.4
...Appraisers and assessors of real estate,"75,720","52,330","23,390",30.9,"41,119","46,622","31,591",67.8
...Budget analysts,"39,460","14,910","24,550",62.2,"47,005","52,690","42,936",81.5
...Credit analysts,"24,870","9,870","15,000",60.3,"34,817","39,819","31,596",79.3
...Financial analysts,"43,680","29,930","13,750",31.5,"60,427","71,581","45,204",63.2
...Personal financial advisors,"188,690","132,490","56,200",29.8,"56,746","68,808","39,276",57.1
...Insurance underwriters,"69,980","22,500","47,480",67.8,"39,394","51,826","35,611",68.7
...Financial examiners,"10,240","6,090","4,150",40.5,"53,346","60,434","42,322",70.0
...Loan counselors and officers,"259,750","120,310","139,440",53.7,"38,806","49,572","32,299",65.2
"...Tax examiners, collectors, and revenue agents","55,600","22,790","32,810",59.0,"37,754","47,145","33,493",71.0
...Tax preparers,"36,500","16,430","20,080",55.0,"36,505","46,200","31,386",67.9
"...Financial specialists, all other","34,580","14,970","19,610",56.7,"38,660","54,269","32,531",59.9
".Computer, engineering, and science occupations:","5,576,430","4,290,470","1,285,960",23.1,"51,836","54,811","44,226",80.7
..Computer and mathematical occupations:,"2,499,100","1,779,230","719,870",28.8,"53,216","56,865","47,166",82.9
...Computer scientists and systems analysts,"537,310","363,060","174,240",32.4,"53,004","57,019","48,002",84.2
...Computer programmers,"505,590","373,870","131,730",26.1,"54,447","56,562","50,216",88.8
...Computer software engineers,"580,590","446,240","134,350",23.1,"64,263","66,845","55,716",83.4
...Computer support specialists,"294,340","187,220","107,120",36.4,"40,820","42,304","37,893",89.6
...Database administrators,"62,200","37,490","24,710",39.7,"53,510","61,432","42,704",69.5
...Network and computer systems administrators,"160,910","123,670","37,240",23.1,"47,228","49,311","42,028",85.2
...Network systems and data communications analysts,"232,940","175,980","56,970",24.5,"48,816","50,948","41,967",82.4
...Actuaries,"19,000","13,150","5,850",30.8,"72,694","81,575","56,588",69.4
...Mathematicians,"2,300","1,910",400,17.4,"70,899","72,791","62,279",(X)
...Operations research analysts,"83,750","45,360","38,400",45.8,"51,991","58,449","47,324",81.0
...Statisticians,"17,670","9,770","7,900",44.7,"53,740","61,954","46,661",75.3
...Miscellaneous mathematical science occupations,"2,500","1,530",970,38.8,"46,429","57,043","37,066",65.0
..Architecture and engineering occupations:,"2,219,640","1,957,850","261,790",11.8,"52,234","54,195","41,577",76.7
"...Architects, except naval","147,780","123,510","24,270",16.4,"51,149","52,790","40,751",77.2
"...Surveyors, cartographers, and photogrammetrists","27,510","22,990","4,520",16.4,"41,791","42,840","35,449",82.7
...Aerospace engineers,"97,090","88,830","8,260",8.5,"64,594","65,586","53,617",81.8
...Agricultural engineers,"2,270","2,180",80,3.5,"51,182","51,377","44,167",(X)
...Biomedical engineers,"7,760","6,990",760,9.8,"54,895","55,391","52,260",94.3
...Chemical engineers,"55,530","48,290","7,240",13.0,"67,324","69,909","56,515",80.8
...Civil engineers,"229,980","208,870","21,110",9.2,"56,716","58,487","45,670",78.1
...Computer hardware engineers,"51,120","44,250","6,880",13.5,"60,134","61,145","46,697",76.4
...Electrical and electronics engineers,"266,820","245,880","20,950",7.9,"63,471","64,933","53,985",83.1
...Environmental engineers,"29,370","23,700","5,670",19.3,"55,133","56,690","49,900",88.0
"...Industrial engineers, including health and safety","162,390","137,240","25,150",15.5,"52,000","53,409","44,794",83.9
...Marine engineers and naval architects,"8,690","8,280",410,4.7,"60,254","60,684","47,750",(X)
...Materials engineers,"32,650","29,050","3,600",11.0,"55,813","56,654","49,801",87.9
...Mechanical engineers,"236,200","222,290","13,920",5.9,"57,963","58,812","50,959",86.6
"...Mining and geological engineers, including mining safety engineers","5,550","5,230",320,5.8,"60,352","60,974","39,512",(X)
...Nuclear engineers,"7,410","6,830",580,7.9,"72,031","72,679","61,667",(X)
...Petroleum engineers,"12,520","11,790",730,5.8,"76,643","77,218","69,999",90.7
"...Engineers, all other","262,630","237,740","24,880",9.5,"61,399","61,964","51,521",83.1
...Drafters,"165,090","135,930","29,150",17.7,"36,406","37,414","31,477",84.1
"...Engineering technicians, except drafters","352,690","293,290","59,400",16.8,"40,397","41,480","32,126",77.4
...Surveying and mapping technicians,"58,590","54,690","3,900",6.7,"32,491","33,239","27,272",82.0
"..Life, physical, and social science occupations:","857,690","553,400","304,300",35.5,"45,574","50,096","40,013",79.9
...Agricultural and food scientists,"20,370","16,090","4,280",21.0,"41,157","42,069","36,305",86.3
...Biological scientists,"62,810","37,780","25,030",39.9,"41,205","43,449","38,467",88.5
...Conservation scientists and foresters,"23,900","20,860","3,050",12.7,"43,693","45,224","38,315",84.7
...Medical scientists,"61,830","34,990","26,850",43.4,"47,935","51,961","43,482",83.7
...Astronomers and physicists,"16,940","14,850",2090,12.3,"69,520","71,380","51,422",72.0
...Atmospheric and space scientists,"8,000","7,070",920,11.5,"56,499","57,833","47,927",82.9
...Chemists and materials scientists,"87,230","60,680","26,550",30.4,"50,609","53,217","44,445",83.5
...Environmental scientists and geoscientists,"67,050","52,890","14,160",21.1,"50,525","52,076","41,856",80.4
"...Physical scientists, all other","108,340","74,230","34,110",31.5,"51,057","57,486","41,465",72.1
...Economists,"21,830","15,870","5,960",27.3,"70,245","73,571","60,812",82.7
...Market and survey researchers,"61,540","32,370","29,170",47.4,"50,344","59,131","42,412",71.7
...Psychologists,"87,120","40,440",46680,53.6,"51,069","60,026","45,140",75.2
...Sociologists,"1,950",930,"1,020",52.3,"46,367","55,469","40,888",73.7
...Urban and regional planners,"18,140","12,440","5,690",31.4,"50,372","52,072","45,643",87.7
...Miscellaneous social scientists and related workers,"21,140","11,900","9,240",43.7,"40,647","43,884","36,170",82.4
...Agricultural and food science technicians,"19,390","11,710","7,690",39.6,"31,073","33,196","28,900",87.1
...Biological technicians,"12,030","6,280","5,760",47.8,"33,544","36,582","31,216",85.3
...Chemical technicians,"69,320","48,400","20,920",30.2,"39,580","41,292","34,409",83.3
...Geological and petroleum technicians,"9,450","7,350","2,090",22.1,"44,371","45,918","40,491",88.2
...Nuclear technicians,"3,100","2,610",500,16.1,"55,340","58,281","45,986",(X)
"...Other life, physical, and social science technicians","76,220","43,680","32,540",42.7,"31,957","35,363","29,426",83.2
".Education, legal, community service, arts, and media occupations:","6,470,430","2,931,830","3,538,600",54.7,"36,549","43,273","32,128",74.2
..Community and social services occupations:,"1,298,370","580,960","717,420",55.3,"31,095","32,601","30,098",92.3
...Counselors,"309,310","116,700","192,610",62.3,"31,170","32,877","30,357",92.3
...Social workers,"455,920","105,960","349,960",76.8,"31,240","34,231","30,676",89.6
...Miscellaneous community and social service specialists,"181,610","73,090","108,530",59.8,"30,926","35,366","28,627",80.9
...Clergy,"285,580","254,040","31,540",11.0,"31,377","31,709","28,586",90.2
"...Directors, religious activities and education","28,730","13,350","15,380",53.5,"29,745","32,294","27,337",84.7
"...Religious workers, all other","37,230","17,830","19,400",52.1,"27,133","31,341","25,208",80.4
..Legal occupations:,"1,093,250","614,060","479,190",43.8,"60,504","83,104","40,559",48.8
...Lawyers,"702,480","521,920","180,560",25.7,"82,185","90,872","66,868",73.6
"...Judges, magistrates, and other judicial workers","46,590","29,890","16,700",35.8,"72,240","87,851","50,197",57.1
...Paralegals and legal assistants,"202,450","25,020","177,430",87.6,"33,457","36,505","33,005",90.4
...Miscellaneous legal support workers,"141,720","37,220","104,500",73.7,"32,994","41,916","31,225",74.5
"..Education, training, and library occupations:","2,670,650","916,580","1,754,080",65.7,"35,466","42,577","31,831",74.8
...Postsecondary teachers,"534,100","327,460","206,640",38.7,"49,442","54,861","41,518",75.7
...Preschool and kindergarten teachers,"159,150","4,260","154,900",97.3,"17,307","21,872","17,236",78.8
...Elementary and middle school teachers,"1,105,320","285,580","819,740",74.2,"35,733","39,324","34,673",88.2
...Secondary school teachers,"293,910","141,870","152,040",51.7,"37,426","40,493","35,549",87.8
...Special education teachers,"63,320","11,230","52,100",82.3,"34,605","38,226","33,776",88.4
...Other teachers and instructors,"174,210","81,390","92,830",53.3,"30,560","37,047","25,820",69.7
"...Archivists, curators, and museum technicians","21,930","10,150","11,790",53.7,"35,609","37,882","33,221",87.7
...Librarians,"98,200","20,320","77,880",79.3,"36,870","40,502","36,089",89.1
...Library technicians,"12,280","2,730","9,550",77.8,"22,560","25,985","21,957",84.5
...Teacher assistants,"175,770","18,670","157,100",89.4,"15,458","20,764","15,025",72.4
"...Other education, training, and library workers","32,460","12,940","19,510",60.1,"41,157","45,221","39,196",86.7
"..Arts, design, entertainment, sports, and media occupations:","1,408,160","820,240","587,920",41.8,"36,917","40,618","32,375",79.7
...Artists and related workers,"120,030","74,230","45,810",38.2,"33,720","37,179","28,962",77.9
...Designers,"459,070","239,540","219,540",47.8,"35,775","41,029","30,499",74.3
...Actors,"6,450","3,970","2,480",38.4,"35,164","36,668","31,231",85.2
...Producers and directors,"92,750","60,300","32,450",35.0,"44,123","47,038","40,369",85.8
"...Athletes, coaches, umpires, and related workers","66,700","53,990","12,710",19.1,"32,630","35,579","26,803",75.3
...Dancers and choreographers,"5,960","1,010","4,960",83.2,"25,311","30,895","24,536",79.4
"...Musicians, singers, and related workers","50,450","38,110","12,340",24.5,"31,821","33,089","28,753",86.9
"...Entertainers and performers, sports and related workers, all other","11,490","6,950","4,540",39.5,"27,258","30,287","24,566",81.1
...Announcers,"26,210","21,140","5,070",19.3,"30,166","30,684","26,669",86.9
"...News analysts, reporters and correspondents","59,860","34,530","25,340",42.3,"39,552","42,747","34,882",81.6
...Public relations specialists,"95,700","39,290","56,410",58.9,"41,360","50,165","37,466",74.7
...Editors,"120,880","59,560","61,320",50.7,"39,747","43,187","36,399",84.3
...Technical writers,"51,710","25,150","26,560",51.4,"46,926","51,012","42,654",83.6
...Writers and authors,"81,490","43,640","37,850",46.4,"40,061","43,451","36,496",84.0
...Miscellaneous media and communication workers,"24,080","10,070","14,020",58.2,"32,217","36,059","30,419",84.4
...Broadcast and sound engineering technicians and radio operators,"56,560","49,700","6,860",12.1,"37,284","38,854","31,123",80.1
...Photographers,"63,320","45,920","17,400",27.5,"31,493","35,534","23,973",67.5
"...Television, video, and motion picture camera operators and editors","14,940","12,740","2,200",14.7,"37,621","39,715","30,734",77.4
"...Media and communication equipment workers, all other",500,430,70,14.0,"45,909","49,999","40,893",(X)
.Healthcare practitioner and technical occupations:,"3,793,070","1,180,560","2,612,500",68.9,"41,607","60,513","38,621",63.8
..Chiropractors,"32,670","27,460","5,210",15.9,"61,188","66,013","41,739",63.2
..Dentists,"87,100","74,390","12,710",14.6,"101,719","109,005","68,698",63.0
..Dietitians and nutritionists,"45,910","5,200","40,710",88.7,"33,441","35,790","33,240",92.9
..Optometrists,"21,440","17,020","4,420",20.6,"79,653","84,639","65,333",77.2
..Pharmacists,"147,290","89,680","57,610",39.1,"68,298","71,310","63,550",89.1
..Physicians and surgeons,"515,500","393,270","122,230",23.7,"122,990","140,541","87,896",62.5
..Physician assistants,"37,660","15,710","21,950",58.3,"42,593","60,290","35,241",58.5
..Podiatrists,"7,770","6,810",970,12.4,"84,722","90,948","51,667",56.8
..Registered nurses,"1,384,630","129,740","1,254,900",90.6,"42,652","46,319","42,401",91.5
..Audiologists,"7,280","2,360","4,930",67.7,"46,732","56,921","42,253",74.2
..Occupational therapists,"31,080","4,420","26,660",85.8,"45,467","49,247","45,029",91.4
..Physical therapists,"79,440","30,050","49,390",62.2,"50,599","55,040","48,270",87.7
..Radiation therapists,"8,090","2,680","5,410",66.9,"45,321","49,794","43,116",86.6
..Recreational therapists,"11,210","3,120","8,090",72.1,"29,903","33,155","28,625",86.3
..Respiratory therapists,"60,810","26,510","34,300",56.4,"37,686","40,739","36,012",88.4
..Speech-language pathologists,"35,680","2,280","33,390",93.6,"41,606","47,672","41,436",86.9
"..Therapists, all other","40,110","12,170","27,940",69.7,"32,763","36,111","31,774",88.0
..Veterinarians,"44,560","29,420","15,140",34.0,"61,128","71,456","49,385",69.1
"..Health diagnosing and treating practitioners, all other","4,560","2,180","2,390",52.4,"35,438","37,492","31,518",84.1
..Clinical laboratory technologists and technicians,"196,850","55,880","140,970",71.6,"35,090","37,178","33,931",91.3
..Dental hygienists,"37,400","1,470","35,930",96.1,"40,437","43,160","40,363",93.5
..Diagnostic related technologists and technicians,"155,210","51,430","103,770",66.9,"37,013","41,728","35,250",84.5
..Emergency medical technicians and paramedics,"83,330","60,400","22,930",27.5,"31,280","32,638","26,893",82.4
..Health diagnosing and treating practitioner support technicians,"168,700","35,020","133,670",79.2,"23,019","27,376","22,061",80.6
..Licensed practical and licensed vocational nurses,"353,090","28,000","325,090",92.1,"27,411","30,223","27,258",90.2
..Medical records and health information technicians,"59,770","5,370","54,400",91.0,"22,102","26,064","21,841",83.8
"..Opticians, dispensing","33,860","13,290","20,570",60.7,"27,257","32,231","24,269",75.3
..Miscellaneous health technologists and technicians,"53,790","22,240","31,550",58.7,"28,979","36,897","25,684",69.6
..Other healthcare practitioners and technical occupations,"48,290","33,000","15,280",31.6,"40,207","41,980","34,576",82.4
Service occupations:,"8,994,920","4,682,640","4,312,270",47.9,"21,817","26,619","18,245",68.5
.Healthcare support occupations:,"1,313,430","174,860","1,138,570",86.7,"20,863","24,605","20,486",83.3
"..Nursing, psychiatric, and home health aides","853,210","122,460","730,750",85.6,"19,865","23,603","19,278",81.7
..Occupational therapist assistants and aides,"4,980",880,"4,100",82.3,"30,168","31,107","29,792",95.8
..Physical therapist assistants and aides,"26,580","7,440","19,130",72.0,"28,190","30,145","27,421",91.0
..Massage therapists,"20,940","5,230","15,710",75.0,"22,215","25,219","21,514",85.3
..Dental assistants,"100,140","2,710","97,430",97.3,"22,400","25,819","22,361",86.6
..Medical assistants and other healthcare support occupations,"307,590","36,140","271,460",88.3,"22,107","26,001","21,839",84.0
.Protective service occupations:,"1,908,330","1,592,730","315,600",16.5,"37,224","38,932","30,658",78.7
..First-line supervisors/managers of correctional officers,"41,090","31,280","9,810",23.9,"38,698","40,281","34,188",84.9
..First-line supervisors/managers of police and detectives,"95,320","83,480","11,840",12.4,"53,634","55,409","42,804",77.3
..First-line supervisors/managers of fire fighting and prevention workers,"41,910","40,690","1,220",2.9,"57,767","58,279","44,766",76.8
"..Supervisors, protective service workers, all other","71,040","54,840","16,190",22.8,"35,765","36,320","33,118",91.2
..Fire fighters,"208,870","202,380","6,490",3.1,"45,491","45,700","39,381",86.2
..Fire inspectors,"16,000","14,700","1,310",8.2,"42,341","42,576","38,750",91.0
"..Bailiffs, correctional officers, and jailers","312,730","237,260","75,470",24.1,"32,110","33,932","27,704",81.6
..Detectives and criminal investigators,"101,350","80,820","20,530",20.3,"51,081","52,404","41,396",79.0
..Fish and game wardens,"2,930","2,710",220,7.5,"35,877","35,951","35,385",(X)
..Parking enforcement workers,"3,230","1,800","1,420",44.0,"26,899","27,811","26,194",94.2
..Police and sheriff's patrol officers,"519,840","456,130","63,710",12.3,"42,214","42,787","39,231",91.7
..Transit and railroad police,690,630,60,8.7,"44,531","45,239","30,972",(X)
..Animal control workers,"7,830","5,280","2,550",32.6,"25,582","25,907","25,060",96.7
..Private detectives and investigators,"46,670","30,350","16,320",35.0,"38,103","41,529","32,221",77.6
..Security guards and gaming surveillance officers,"420,650","340,960","79,690",18.9,"23,910","24,366","22,196",91.1
..Crossing guards,"5,490","2,680","2,810",51.2,"21,630","23,248","20,126",86.6
..Lifeguards and other protective service workers,"12,710","6,750","5,960",46.9,"25,554","28,193","22,462",79.7
.Food preparation and serving related occupations:,"2,129,010","1,060,270","1,068,740",50.2,"17,223","19,732","15,697",79.6
..Chefs and head cooks,"157,770","133,110","24,670",15.6,"25,945","26,731","21,162",79.2
..First-line supervisors/managers of food preparation and serving workers,"308,910","146,150","162,750",52.7,"21,769","25,781","19,399",75.2
..Cooks,"646,890","380,520","266,370",41.2,"16,285","17,439","14,689",84.2
..Food preparation workers,"135,840","59,480","76,360",56.2,"15,583","16,644","14,758",88.7
..Bartenders,"136,840","72,040","64,800",47.4,"18,934","21,389","16,260",76.0
"..Combined food preparation and serving workers, including fast food","84,530","23,270","61,250",72.5,"15,791","17,061","15,360",90.0
"..Counter attendants, cafeteria, food concession, and coffee shop","23,740","7,750","15,990",67.4,"14,102","16,260","13,205",81.2
..Waiters and waitresses,"442,390","135,250","307,140",69.4,"16,208","19,753","15,115",76.5
"..Food servers, nonrestaurant","50,870","16,900","33,970",66.8,"18,542","21,182","17,364",82.0
..Dining room and cafeteria attendants and bartender helpers,"53,100","32,610","20,490",38.6,"15,366","15,558","15,095",97.0
..Dishwashers,"59,420","47,680","11,730",19.7,"13,392","13,610","12,496",91.8
