Year,OccupationalCategory,Men,Women,Percentage
2000,Total full-time year-round civilian workers 16 years and over,37842,27501,72.7
2000,Management professional and related occupations:,52396,36972,70.6
2000,Management business and financial occupations:,55294,37748,68.3
2000,Management occupations:,57494,40273,70
2000,Chief executives,96184,61283,63.7
2000,General and operations managers,59484,42250,71
2000,Legislators,58939,41303,70.1
2000,Advertising and promotions managers,51959,40163,77.3
2000,Marketing and sales managers,70310,42518,60.5
2000,Public relations managers,61102,45263,74.1
2000,Administrative services managers,52481,41579,79.2
2000,Computer and information systems managers,71326,57799,81
2000,Financial managers,65925,40276,61.1
2000,Human resources managers,52333,41319,79
2000,Industrial production managers,55086,43227,78.5
2000,Purchasing managers,56652,41618,73.5
2000,Transportation storage and distribution managers,40381,36241,89.7
2000,Farm ranch and other agricultural managers,31857,25185,79.1
2000,Farmers and ranchers,21051,11915,56.6
2000,Construction managers,51223,39936,78
2000,Education administrators,59379,41008,69.1
2000,Engineering managers,81322,75644,93
2000,Food service managers,33747,25494,75.5
2000,Funeral directors,44457,31163,70.1
2000,Gaming managers,41268,31131,75.4
2000,Lodging managers,35827,27235,76
2000,Medical and health services managers,57009,41850,73.4
2000,Natural sciences managers,83891,54909,65.5
2000,Postmasters and mail superintendents,53710,41697,77.6
2000,Property real estate and community association managers,45825,31198,68.1
2000,Social and community service managers,46540,35541,76.4
2000,Managers all other,60409,41651,68.9
2000,Business and financial operations occupations:,50682,35675,70.4
2000,Agents and business managers of artists performers and athletes,43053,35164,81.7
2000,Purchasing agents and buyers farm products,41132,30407,73.9
2000,Wholesale and retail buyers except farm products,37859,30699,81.1
2000,Purchasing agents except wholesale retail and farm products,43245,33600,77.7
2000,Claims adjusters appraisers examiners and investigators,42108,31896,75.7
2000,Compliance officers except agriculture construction health and safety and transportation,46785,37126,79.4
2000,Cost estimators,47036,33256,70.7
2000,Human resources training and labor relations specialists,47190,35796,75.9
2000,Logisticians,50443,37151,73.6
2000,Management analysts,67327,47751,70.9
2000,Meeting and convention planners,36506,36467,99.9
2000,Other business operations specialists,42434,31553,74.4
2000,Accountants and auditors,51487,36258,70.4
2000,Appraisers and assessors of real estate,46622,31591,67.8
2000,Budget analysts,52690,42936,81.5
2000,Credit analysts,39819,31596,79.3
2000,Financial analysts,71581,45204,63.2
2000,Personal financial advisors,68808,39276,57.1
2000,Insurance underwriters,51826,35611,68.7
2000,Financial examiners,60434,42322,70
2000,Loan counselors and officers,49572,32299,65.2
2000,Tax examiners collectors and revenue agents,47145,33493,71
2000,Tax preparers,46200,31386,67.9
2000,Financial specialists all other,54269,32531,59.9
2000,Computer engineering and science occupations:,54811,44226,80.7
2000,Computer and mathematical occupations:,56865,47166,82.9
2000,Computer scientists and systems analysts,57019,48002,84.2
2000,Computer programmers,56562,50216,88.8
2000,Computer software engineers,66845,55716,83.4
2000,Computer support specialists,42304,37893,89.6
2000,Database administrators,61432,42704,69.5
2000,Network and computer systems administrators,49311,42028,85.2
2000,Network systems and data communications analysts,50948,41967,82.4
2000,Actuaries,81575,56588,69.4
2000,Mathematicians,72791,62279,0
2000,Operations research analysts,58449,47324,81
2000,Statisticians,61954,46661,75.3
